Timestamp: 1685793245, Memory: calloc, Funktion: OSMP_INIT, OSMPRank: 0
Timestamp: 1685793245, Memory: free, Funktion: OSMP_INIT, OSMPRank: 0
Timestamp: 1685793245, Memory: calloc, Funktion: OSMP_INIT, OSMPRank: 0
Timestamp: 1685793245, Funktion: OSMP_INIT END, OSMPRank: 0
Timestamp: 1685793245, Funktion: OSMP_SIZE START, OSMPRank: 0
Timestamp: 1685793245, Memory: free, Funktion: OSMP_INIT, OSMPRank: 0
Timestamp: 1685793245, Funktion: OSMP_SIZE END, OSMPRank: 0
Timestamp: 1685793245, Funktion: OSMP_INIT END, OSMPRank: 1
Timestamp: 1685793245, Funktion: OSMP_RANK START, OSMPRank: 0
Timestamp: 1685793245, Funktion: OSMP_SIZE START, OSMPRank: 1
Timestamp: 1685793245, Funktion: OSMP_RANK END, OSMPRank: 0
Timestamp: 1685793245, Funktion: OSMP_SIZE END, OSMPRank: 1
Timestamp: 1685793245, Funktion: OSMP_SEND START, OSMPRank: 0
Timestamp: 1685793245, Funktion: OSMP_RANK START, OSMPRank: 1
Timestamp: 1685793245, Funktion: OSMP_SEND END, OSMPRank: 0
Timestamp: 1685793245, Funktion: OSMP_RANK END, OSMPRank: 1
Timestamp: 1685793245, Funktion: OSMP_SEND START, OSMPRank: 0
Timestamp: 1685793245, Funktion: OSMP_SEND END, OSMPRank: 0
Timestamp: 1685793245, Funktion: OSMP_SEND START, OSMPRank: 0
Timestamp: 1685793245, Funktion: OSMP_SEND END, OSMPRank: 0
Timestamp: 1685793245, Funktion: OSMP_SEND START, OSMPRank: 0
Timestamp: 1685793245, Funktion: OSMP_SEND END, OSMPRank: 0
Timestamp: 1685793245, Funktion: OSMP_SEND START, OSMPRank: 0
Timestamp: 1685793245, Funktion: OSMP_SEND END, OSMPRank: 0
Timestamp: 1685793245, Funktion: OSMP_SEND START, OSMPRank: 0
Timestamp: 1685793245, Funktion: OSMP_SEND END, OSMPRank: 0
Timestamp: 1685793245, Funktion: OSMP_SEND START, OSMPRank: 0
Timestamp: 1685793245, Funktion: OSMP_SEND END, OSMPRank: 0
Timestamp: 1685793245, Funktion: OSMP_SEND START, OSMPRank: 0
Timestamp: 1685793245, Funktion: OSMP_SEND END, OSMPRank: 0
Timestamp: 1685793245, Funktion: OSMP_SEND START, OSMPRank: 0
Timestamp: 1685793245, Funktion: OSMP_SEND END, OSMPRank: 0
Timestamp: 1685793245, Funktion: OSMP_SEND START, OSMPRank: 0
Timestamp: 1685793245, Funktion: OSMP_SEND END, OSMPRank: 0
Timestamp: 1685793245, Funktion: OSMP_SEND START, OSMPRank: 0
Timestamp: 1685793245, Funktion: OSMP_SEND END, OSMPRank: 0
Timestamp: 1685793245, Funktion: OSMP_SEND START, OSMPRank: 0
Timestamp: 1685793245, Funktion: OSMP_SEND END, OSMPRank: 0
Timestamp: 1685793245, Funktion: OSMP_SEND START, OSMPRank: 0
Timestamp: 1685793245, Funktion: OSMP_SEND END, OSMPRank: 0
Timestamp: 1685793245, Funktion: OSMP_SEND START, OSMPRank: 0
Timestamp: 1685793245, Funktion: OSMP_SEND END, OSMPRank: 0
Timestamp: 1685793245, Funktion: OSMP_SEND START, OSMPRank: 0
Timestamp: 1685793245, Funktion: OSMP_SEND END, OSMPRank: 0
Timestamp: 1685793245, Funktion: OSMP_SEND START, OSMPRank: 0
Timestamp: 1685793245, Funktion: OSMP_SEND END, OSMPRank: 0
Timestamp: 1685793245, Funktion: OSMP_SEND START, OSMPRank: 0
Timestamp: 1685793247, Funktion: OSMP_RECV START, OSMPRank: 1
Timestamp: 1685793247, Funktion: OSMP_RECV END, OSMPRank: 1
Timestamp: 1685793247, Funktion: OSMP_SEND END, OSMPRank: 0
Timestamp: 1685793247, Funktion: OSMP_SEND START, OSMPRank: 0
Timestamp: 1685793249, Funktion: OSMP_RECV START, OSMPRank: 1
Timestamp: 1685793249, Funktion: OSMP_RECV END, OSMPRank: 1
Timestamp: 1685793249, Funktion: OSMP_SEND END, OSMPRank: 0
Timestamp: 1685793249, Funktion: OSMP_SEND START, OSMPRank: 0
Timestamp: 1685793251, Funktion: OSMP_RECV START, OSMPRank: 1
Timestamp: 1685793251, Funktion: OSMP_RECV END, OSMPRank: 1
Timestamp: 1685793251, Funktion: OSMP_SEND END, OSMPRank: 0
Timestamp: 1685793251, Funktion: OSMP_SEND START, OSMPRank: 0
Timestamp: 1685793253, Funktion: OSMP_RECV START, OSMPRank: 1
Timestamp: 1685793253, Funktion: OSMP_RECV END, OSMPRank: 1
Timestamp: 1685793253, Funktion: OSMP_SEND END, OSMPRank: 0
Timestamp: 1685793253, Funktion: OSMP_FINALIZE START, OSMPRank: 0
Timestamp: 1685793255, Funktion: OSMP_RECV START, OSMPRank: 1
Timestamp: 1685793255, Funktion: OSMP_RECV END, OSMPRank: 1
Timestamp: 1685793257, Funktion: OSMP_RECV START, OSMPRank: 1
Timestamp: 1685793257, Funktion: OSMP_RECV END, OSMPRank: 1
Timestamp: 1685793259, Funktion: OSMP_RECV START, OSMPRank: 1
Timestamp: 1685793259, Funktion: OSMP_RECV END, OSMPRank: 1
